,pid,_id,lec_id,value,order
0,1,AS.0,AS,0,0
1,2,AS.a,AS,a,1
2,3,BK.0,BK,0,0
3,4,BK.a,BK,a,1
4,5,BK.b,BK,b,2
5,6,BK.c,BK,c,3
6,7,BK.d,BK,d,4
7,8,DD.0,DD,0,0
8,9,DD.a,DD,a,1
9,10,DL.0,DL,0,0
10,11,DL.a,DL,a,1
11,12,DL.b,DL,b,3
12,13,DL.c,DL,c,4
13,14,DL.d,DL,d,5
14,15,DL.e,DL,e,6
15,16,DL.+,DL,+,6
16,17,DM.0,DM,0,0
17,18,DM.a,DM,a,1
18,19,DM.b,DM,b,3
19,20,DM.c,DM,c,4
20,21,DM.d,DM,d,5
21,22,DM.e,DM,e,6
22,23,DM.f,DM,f,7
23,24,ER.0,ER,0,0
24,25,ER.a,ER,a,1
25,26,ER.b,ER,b,2
26,27,ER.¤,ER,¤,3
27,28,FK.0,FK,0,0
28,29,FK.a,FK,a,1
29,30,FK.b,FK,b,2
30,31,FK.c,FK,c,3
31,32,FK.d,FK,d,4
32,33,FK.e,FK,e,5
33,34,FR.0,FR,0,0
34,35,FR.a,FR,a,1
35,36,GS.0,GS,0,0
36,37,GS.a,GS,a,1
37,38,GS.b,GS,b,2
38,39,GS.¤,GS,¤,5
39,40,GS.c,GS,c,3
40,41,GS.d,GS,d,4
41,42,HF.0,HF,0,0
42,43,HF.a,HF,a,1
43,44,HF.b,HF,b,2
44,45,HF.+,HF,+,3
45,46,HI.0,HI,0,0
46,47,HI.a,HI,a,1
47,48,HI.b,HI,b,2
48,49,HI.e,HI,e,5
49,50,HI.j,HI,j,9
50,51,HI.c,HI,c,3
51,52,HI.d,HI,d,4
52,53,HI.f,HI,f,6
53,54,HI.g,HI,g,7
54,55,HI.h,HI,h,8
55,56,HI.i,HI,i,9
56,57,HR.0,HR,0,0
57,58,HR.a,HR,a,1
58,59,HU.0,HU,0,0
59,60,HU.a,HU,a,1
60,61,HU.b,HU,b,2
61,62,HU.c,HU,c,3
62,63,HU.d,HU,d,4
63,64,IF.0,IF,0,0
64,65,IF.a,IF,a,1
65,66,IF.b,IF,b,2
66,67,IF.¤,IF,¤,3
67,68,IO.0,IO,0,0
68,69,IO.a,IO,a,1
69,70,IO.b,IO,b,2
70,71,IO.¤,IO,¤,3
71,72,JF.0,JF,0,0
72,73,JF.a,JF,a,1
73,74,JF.b,JF,b,2
